Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,실제 값,예측 값
26.92,47.61,1335,407,12953,19398,938.689,1.94,2.01,13.33,2.078,0.047,20902,1,1
-8.105,47.21,1193,400,13015,19423,938.761,2.38,2.47,16.37,2.553,0.058,24266,1,1
-5.158,57.26,365,400,13060,19901,939.284,0.61,0.64,4.23,0.659,0.015,8868,1,1
36.5,21.96,330,4540,12394,19655,931.022,33.64,34.95,231.52,36.103,0.815,323,1,1
-14.924,48.24,1381,400,12984,19384,938.718,1.96,2.03,13.46,2.1,0.047,23959,1,1
20.04,52.95,9,400,13266,20228,939.725,2.75,2.86,18.94,2.954,0.067,5498,1,1
13.015,53.47,1107,438,12872,19452,938.805,1.87,1.94,12.85,2.004,0.045,15058,1,1
18.3,51.56,69,400,13198,20103,939.624,0.94,0.97,6.45,1.006,0.023,2574,0,0
25.07,50.19,1343,417,12946,19384,938.703,1.75,1.82,12.07,1.883,0.043,20855,1,1
21.56,53.02,84,400,13239,20127,939.653,2.44,2.54,16.8,2.619,0.059,4384,1,1
12.081,53.55,1092,623,12806,19458,939.061,1.97,2.05,13.55,2.113,0.048,11520,1,1
24.41,53.96,1350,413,12969,19388,938.717,1.76,1.83,12.12,1.889,0.043,23333,1,1
29.53,39.95,92,409,12825,20674,937.495,2.14,2.22,14.69,2.291,0.052,530,0,0
-6.879,52.82,65,400,13241,20162,939.647,2.25,2.34,15.48,2.413,0.055,4724,1,1
17.274,19.68,39479,775,12616,18639,936.861,0.96,0.99,6.58,1.027,0.023,4579,0,0
25.98,47.38,80,400,12788,20641,937.433,1.62,1.69,11.17,1.742,0.039,1455,0,0
20.13,58.2,330,400,13110,19891,939.69,1.33,1.38,9.15,1.427,0.032,3528,1,1
0.454,50.38,1356,415,12946,19395,938.69,1.94,2.02,13.35,2.082,0.047,21155,1,1
-4.769,60.15,732,776,12744,19546,939.164,2.6,2.7,17.91,2.793,0.063,9534,1,1
24.41,53.23,1109,564,12827,19457,938.989,2.0,2.08,13.78,2.149,0.049,12600,1,1
22.14,56.69,827,955,12651,19530,939.136,2.32,2.41,15.99,2.493,0.056,9840,1,1
-7.012,52.31,49,400,13249,20165,939.668,2.34,2.43,16.1,2.51,0.057,4745,1,1
18.349,49.67,24,400,13205,20138,939.616,1.12,1.16,7.71,1.202,0.027,2427,0,0
26.85,47.52,1073,568,12829,19469,938.985,1.85,1.92,12.72,1.983,0.045,12376,1,1
25.47,47.56,1145,675,12779,19448,939.081,2.07,2.15,14.22,2.218,0.05,11147,1,1
24.479,54.41,45,400,13119,20013,939.611,0.68,0.7,4.65,0.725,0.016,1753,0,0
21.89,57.8,799,913,12667,19529,939.138,2.28,2.37,15.68,2.446,0.055,9853,1,1
24.43,52.85,1180,400,13029,19439,938.769,2.04,2.12,14.02,2.187,0.049,24170,1,1
20.123,53.46,1254,404,12905,19416,938.723,1.67,1.73,11.47,1.788,0.04,18532,1,1
-21.155,50.04,1358,400,12976,19394,938.72,1.91,1.99,13.15,2.051,0.046,22807,1,1
25.14,50.2,1164,409,12881,19436,938.759,1.69,1.75,11.61,1.811,0.041,16475,1,1
-1.181,48.42,1310,400,12962,19398,938.687,1.75,1.81,12.02,1.874,0.042,21253,1,1
19.68,54.94,21,400,13248,20240,939.67,2.55,2.65,17.52,2.733,0.062,5864,1,1
14.03,50.13,13,400,12735,19763,939.83,0.25,0.31,1.58,0.33,0.057,418,0,0
20.26,55.54,367,400,13053,19901,939.25,0.5,0.52,3.45,0.537,0.012,9203,1,1
-4.499,51.13,256,400,13127,20011,939.498,0.47,0.49,3.24,0.506,0.011,7320,1,1
26.69,48.72,1134,410,12881,19443,938.798,1.71,1.78,11.78,1.837,0.041,15970,1,1
20.233,50.86,0,400,12480,19382,939.758,0.6,2.52,0.0,2.908,1.851,16,0,0
20.635,52.97,1143,536,12836,19450,938.875,1.83,1.9,12.59,1.963,0.044,13193,1,1
25.84,47.83,128,400,12785,20594,937.33,2.0,2.08,13.76,2.145,0.048,1994,0,0
26.94,47.43,1053,494,12855,19463,938.867,1.81,1.88,12.43,1.938,0.044,13638,1,1
21.558,41.85,0,410,12873,20792,937.606,2.02,2.1,13.89,2.166,0.049,26,0,0
18.034,43.15,154,423,12778,20570,937.419,1.66,1.72,11.39,1.777,0.04,2795,0,0
25.99,47.29,1258,413,12902,19405,938.708,1.71,1.78,11.79,1.839,0.042,18691,1,1
21.25,63.2,203,400,13189,20013,939.702,2.35,2.45,16.2,2.526,0.057,3306,1,1
10.81,56.55,11,404,12512,19596,939.693,0.01,0.04,0.01,0.043,0.026,52,0,0
-4.157,50.69,270,400,13128,20002,939.466,0.39,0.4,2.68,0.417,0.009,7557,1,1
16.92,51.76,1065,474,12867,19463,938.898,1.72,1.79,11.82,1.844,0.042,14163,1,1
13.228,53.03,1073,447,12870,19455,938.813,1.7,1.77,11.71,1.826,0.041,14989,1,1
-19.068,50.75,1381,411,12974,19384,938.706,1.72,1.79,11.86,1.849,0.042,23675,1,1
22.859,38.34,31,426,12862,20765,937.568,2.11,2.2,14.55,2.269,0.051,51,0,0
25.16,50.15,1170,411,12879,19438,938.747,1.66,1.72,11.4,1.778,0.04,16355,1,1
14.198,52.17,1088,400,12906,19460,938.777,1.63,1.7,11.24,1.753,0.04,16983,1,1
15.735,50.0,54,400,13206,20113,939.65,0.99,1.03,6.83,1.065,0.024,2658,0,0
21.9,50.48,141,400,13216,20079,939.654,1.67,1.73,11.49,1.792,0.04,4028,1,1
15.324,51.18,94,400,13189,20078,939.646,1.08,1.13,7.46,1.164,0.026,2693,0,0
-20.364,13.67,60000,5120,11645,16996,936.724,3813.18,5876.59,21433.46,6382.627,1951.154,5211,0,0
26.19,48.61,990,659,12795,19490,939.067,2.08,2.16,14.31,2.232,0.05,10777,1,1
15.01,50.54,17,400,12947,19886,939.757,0.26,0.27,1.79,0.279,0.006,765,0,0
-2.056,49.02,123,400,13224,20093,939.653,1.7,1.77,11.71,1.826,0.041,4152,1,1
18.28,56.58,307,400,13111,19958,939.4,0.36,0.38,2.5,0.39,0.009,8031,1,1
17.776,48.7,1048,483,12859,19468,938.904,1.64,1.71,11.32,1.765,0.04,13989,1,1
19.632,50.26,960,543,12841,19490,938.981,2.08,2.16,14.31,2.232,0.05,12425,1,1
-4.475,55.06,766,839,12707,19534,939.161,2.96,3.07,20.34,3.172,0.072,9644,1,1
24.51,53.1,1099,553,12839,19456,938.908,1.7,1.77,11.72,1.827,0.041,13015,1,1
22.02,57.15,226,400,13174,19990,939.674,2.5,2.6,17.2,2.683,0.061,3321,1,1
24.27,53.4,1076,616,12817,19461,939.058,2.28,2.37,15.71,2.45,0.055,11573,1,1
24.85,52.35,1157,403,12897,19438,938.749,1.44,1.5,9.93,1.548,0.035,17441,1,1
22.35,56.79,781,723,12761,19537,939.119,2.54,2.64,17.48,2.727,0.062,9966,1,1
27.01,47.38,1126,477,12859,19447,938.926,2.26,2.35,15.57,2.428,0.055,14300,1,1
-5.091,59.36,639,578,12851,19617,939.259,2.52,2.62,17.34,2.703,0.061,9350,1,1
25.31,48.84,1333,406,12941,19398,938.763,2.11,2.2,14.55,2.27,0.051,20373,1,1
19.58,55.42,46,400,13245,20208,939.722,2.25,2.33,15.46,2.411,0.054,5633,1,1
24.47,53.59,1189,407,12891,19437,938.782,1.52,1.58,10.48,1.634,0.037,17216,1,1
20.32,49.96,0,400,12492,19489,939.756,0.31,1.3,0.0,1.497,0.953,22,0,0
24.61,52.52,1191,400,13017,19431,938.77,2.74,2.85,18.86,2.941,0.066,24223,1,1
21.02,45.87,150,400,13161,20027,939.613,0.91,0.94,6.25,0.974,0.022,2961,0,0
26.63,49.21,1191,400,12929,19436,938.669,1.53,1.59,10.52,1.64,0.037,19449,1,1
-13.22,54.03,1364,415,12956,19383,938.736,2.14,2.23,14.76,2.302,0.052,22017,1,1
20.161,51.84,0,400,12467,19264,939.754,0.84,3.51,0.0,4.053,2.58,11,0,0
27.16,46.83,1094,497,12852,19458,938.863,1.91,1.99,13.16,2.053,0.046,13590,1,1
1.372,52.33,168,400,13212,20052,939.661,2.31,2.4,15.91,2.481,0.056,3836,1,1
14.381,53.67,1138,411,12891,19437,938.791,1.51,1.57,10.42,1.625,0.037,17037,1,1
18.26,56.74,307,400,13115,19961,939.399,0.3,0.31,2.06,0.321,0.007,7923,1,1
27.106,53.64,0,400,13055,19952,939.791,0.23,0.24,1.58,0.246,0.006,1089,0,0
-8.789,50.81,62,400,13224,20158,939.69,2.14,2.23,14.74,2.299,0.052,5136,1,1
26.22,51.67,1023,479,12853,19460,938.876,1.62,1.69,11.18,1.744,0.039,13623,1,1
20.66,51.07,1170,540,12834,19436,938.891,1.81,1.88,12.45,1.941,0.044,13178,1,1
21.18,52.79,146,400,13227,20063,939.664,2.24,2.32,15.4,2.401,0.054,3844,1,1
55.1,12.01,2605,400,13571,20016,936.691,0.76,0.79,5.2,0.811,0.018,5486,0,0
-4.91,52.38,251,400,13143,20027,939.52,0.64,0.66,4.4,0.686,0.015,7145,1,1
-7.881,50.57,168,400,13171,20100,939.67,0.83,0.86,5.68,0.886,0.02,6250,1,1
3.033,53.88,1364,415,12950,19386,938.713,2.16,2.24,14.83,2.313,0.052,20999,1,1
6.162,52.42,1371,415,12987,19388,938.809,1.76,1.83,12.11,1.889,0.043,24699,1,1
20.438,43.19,208,470,12750,20515,937.348,1.39,1.44,9.57,1.492,0.034,3054,0,0
20.577,48.42,1120,570,12821,19454,938.99,2.07,2.15,14.24,2.22,0.05,12693,1,1
-5.185,54.19,375,400,13057,19889,939.261,0.33,0.34,2.27,0.355,0.008,8909,1,1
28.88,42.03,152,424,12777,20562,937.365,2.08,2.16,14.28,2.227,0.05,2631,0,0
-4.767,54.38,69,400,13258,20155,939.663,2.31,2.4,15.88,2.476,0.056,4442,1,1
22.39,47.55,119,400,13224,20090,939.608,2.03,2.11,14.01,2.184,0.049,4103,1,1
26.05,52.7,1074,467,12865,19452,938.896,1.92,1.99,13.19,2.056,0.046,14102,1,1
12.007,52.61,1170,420,12870,19434,938.807,2.09,2.17,14.37,2.241,0.051,15704,1,1
13.28,52.37,6,408,12562,19648,939.798,0.01,0.02,0.01,0.021,0.012,124,0,0
13.53,51.37,3,400,12626,19690,939.817,0.08,0.14,0.42,0.151,0.055,239,0,0
26.53,49.59,1331,411,12967,19388,938.73,1.93,2.0,13.26,2.068,0.047,21788,1,1
-8.011,51.73,21,400,13256,20200,939.683,2.25,2.34,15.51,2.419,0.055,4927,1,1
-16.293,11.99,2432,400,13598,20060,936.68,0.74,0.76,5.07,0.79,0.018,5487,0,0
15.116,48.63,1141,472,12862,19446,938.902,1.92,1.99,13.19,2.057,0.046,14529,1,1
-5.178,43.99,111,400,12799,20614,937.292,2.09,2.17,14.4,2.245,0.051,2128,0,0
-6.614,52.73,1335,417,12951,19391,938.74,1.88,1.95,12.91,2.014,0.045,21582,1,1
-2.045,51.94,965,745,12758,19486,939.095,2.3,2.39,15.84,2.469,0.056,10130,1,1
24.61,53.14,1356,419,12985,19388,938.831,2.13,2.21,14.67,2.287,0.052,24882,1,1
0.719,51.75,860,652,12792,19514,939.114,2.02,2.1,13.93,2.172,0.049,10464,1,1
24.18,53.44,1097,659,12796,19453,939.077,1.99,2.07,13.71,2.137,0.048,11221,1,1
50.59,13.73,1344,400,13657,20335,936.678,0.73,0.76,5.02,0.783,0.018,5609,0,0
12.459,52.79,1151,427,12875,19443,938.746,1.63,1.7,11.25,1.754,0.04,16305,1,1
19.941,46.88,1159,519,12845,19438,938.866,1.87,1.94,12.87,2.007,0.045,13469,1,1
15.418,48.02,1205,400,12937,19429,938.727,1.58,1.64,10.84,1.69,0.038,20122,1,1
17.928,53.14,1193,408,12927,19434,938.727,1.45,1.51,10.0,1.56,0.035,19845,1,1
20.548,47.31,1019,540,12837,19474,938.972,1.88,1.95,12.92,2.014,0.045,12680,1,1
12.879,47.96,1151,400,12895,19444,938.767,1.59,1.65,10.92,1.704,0.038,16516,1,1
6.061,53.22,1293,400,12961,19407,938.695,2.16,2.24,14.84,2.315,0.052,20811,1,1
12.498,47.13,1074,421,12882,19461,938.825,1.54,1.6,10.58,1.649,0.037,15267,1,1
24.76,52.54,1189,422,12877,19434,938.767,1.69,1.76,11.63,1.813,0.041,16363,1,1
-8.765,55.32,97,400,13212,20175,939.632,1.92,1.99,13.19,2.056,0.046,5929,1,1
27.18,44.31,53,422,12829,20714,937.567,2.16,2.24,14.85,2.316,0.052,242,0,0
11.715,47.53,1073,626,12807,19459,939.097,2.36,2.45,16.24,2.533,0.057,11486,1,1
11.886,45.82,57,417,12801,20709,937.522,2.37,2.46,16.31,2.544,0.057,684,0,0
20.073,52.58,1166,530,12838,19439,938.883,1.79,1.86,12.33,1.922,0.043,13427,1,1
20.91,51.67,204,400,13147,20061,939.585,0.63,0.65,4.33,0.675,0.015,6727,1,1
25.16,48.15,1055,686,12772,19459,939.071,2.05,2.13,14.14,2.205,0.05,10787,1,1
23.248,48.13,94,400,13105,19970,939.606,0.66,0.69,4.55,0.709,0.016,1917,0,0
18.58,55.64,265,400,13119,19999,939.503,0.4,0.42,2.76,0.431,0.01,7297,1,1
-4.703,50.6,313,400,13099,19940,939.338,0.28,0.29,1.91,0.297,0.007,8450,1,1
15.473,53.52,1168,400,12897,19432,938.76,1.84,1.91,12.67,1.975,0.045,17333,1,1
25.23,48.33,1186,400,13012,19424,938.728,2.26,2.35,15.55,2.424,0.055,24153,1,1
13.938,40.28,148,400,13236,21003,937.049,1.9,1.97,13.04,2.034,0.046,3884,0,0
20.57,52.36,329,400,13096,19936,939.34,0.3,0.31,2.05,0.32,0.007,8550,1,1
25.54,53.38,990,552,12836,19486,939.018,2.44,2.53,16.76,2.614,0.059,12181,1,1
24.48,53.62,1118,401,12898,19445,938.717,1.44,1.49,9.88,1.541,0.035,17635,1,1
-5.824,52.14,214,400,13145,20047,939.603,0.51,0.53,3.51,0.547,0.012,6846,1,1
19.85,54.1,62,400,13244,20157,939.685,2.37,2.47,16.34,2.548,0.058,4737,1,1
-7.946,40.71,103,400,12788,20639,937.49,1.55,1.61,10.65,1.661,0.038,1129,0,0
11.18,56.17,11,400,12640,19697,939.794,0.16,0.27,0.85,0.295,0.103,274,0,0
28.5,32.58,426,1996,12825,19581,931.109,2550.84,2650.23,17556.41,2737.719,61.834,206,1,1
15.592,47.56,1186,404,12895,19430,938.761,1.8,1.87,12.37,1.929,0.044,17363,1,1
19.85,54.54,33,400,13262,20193,939.679,2.53,2.63,17.43,2.717,0.061,4854,1,1
19.973,53.76,1233,422,12908,19421,938.731,1.57,1.63,10.8,1.684,0.038,18477,1,1
-8.111,55.52,172,400,13173,20097,939.677,0.85,0.88,5.82,0.908,0.021,6176,1,1
19.88,56.31,290,400,13127,19982,939.406,0.21,0.22,1.48,0.231,0.005,7871,1,1
24.49,53.06,1132,534,12833,19450,938.91,2.07,2.15,14.27,2.226,0.05,13135,1,1
26.19,46.83,89,400,12786,20642,937.517,2.17,2.25,14.93,2.328,0.053,1210,0,0
21.93,49.85,36,400,13257,20218,939.709,2.4,2.5,16.53,2.578,0.058,5775,1,1
49.23,26.58,60000,10238,11363,16627,936.876,3028.08,3146.06,20841.03,3249.91,73.404,4945,0,0
20.83,51.17,340,400,13079,19907,939.287,0.24,0.24,1.62,0.253,0.006,8781,1,1
14.1,56.03,32,400,13057,19938,939.768,0.29,0.3,2.01,0.313,0.007,1180,0,0
-21.746,47.65,1346,411,12962,19389,938.714,1.67,1.74,11.5,1.793,0.04,22951,1,1
20.1,47.56,0,400,13226,20169,939.618,1.18,1.23,8.13,1.268,0.029,2264,0,0
26.58,49.18,1138,527,12841,19460,938.891,1.76,1.83,12.11,1.888,0.043,13327,1,1
15.622,47.18,1120,475,12860,19450,938.93,1.62,1.69,11.17,1.742,0.039,14424,1,1
27.32,38.83,0,400,13447,21300,937.386,2.02,2.1,13.94,2.173,0.049,3758,0,0
-4.896,47.84,74,400,12802,20651,937.414,1.77,1.84,12.19,1.901,0.043,1643,0,0
26.54,47.78,1030,650,12795,19474,939.1,2.26,2.35,15.57,2.428,0.055,11025,1,1
-15.471,53.43,1410,413,12958,19375,938.709,1.81,1.88,12.44,1.94,0.044,22187,1,1
19.79,47.62,0,400,13177,20079,939.666,0.92,0.96,6.37,0.993,0.022,2142,0,0
27.05,53.1,0,400,13021,19937,939.757,0.27,0.28,1.83,0.286,0.006,922,0,0
20.782,48.74,0,400,13192,20126,939.621,0.96,0.99,6.59,1.027,0.023,2192,0,0
27.05,47.24,1128,474,12860,19439,938.93,1.63,1.69,11.2,1.746,0.039,14423,1,1
20.6,54.15,193,400,13158,20076,939.6,0.64,0.67,4.43,0.69,0.016,6722,1,1
18.69,54.53,324,400,13095,19929,939.394,0.21,0.22,1.42,0.222,0.005,8185,1,1
26.56,49.65,1155,408,12895,19438,938.787,1.24,1.28,8.51,1.327,0.03,17167,1,1
-1.469,48.37,118,400,13226,20104,939.611,1.9,1.98,13.1,2.043,0.046,4095,1,1
-16.915,48.2,1358,400,12985,19386,938.704,1.72,1.79,11.83,1.845,0.042,23839,1,1
-4.974,50.81,335,400,13091,19926,939.301,0.29,0.3,2.0,0.312,0.007,8670,1,1
13.01,48.42,1117,400,12887,19443,938.776,1.59,1.65,10.92,1.703,0.038,16572,1,1
26.869,50.34,5,400,12980,19920,939.767,0.1,0.11,0.72,0.112,0.003,827,0,0
-4.62,47.12,115,400,12788,20600,937.367,1.73,1.79,11.89,1.853,0.042,1927,0,0
16.88,52.22,84,400,13105,19977,939.611,0.6,0.63,4.15,0.647,0.015,1926,0,0
24.51,53.1,1141,552,12832,19453,938.896,2.1,2.18,14.44,2.252,0.051,13074,1,1
25.172,50.31,5,400,12769,19775,939.831,0.11,0.12,0.7,0.131,0.016,475,0,0
22.25,57.36,799,728,12767,19536,939.134,2.62,2.72,18.03,2.811,0.063,9972,1,1
-10.953,47.97,1262,400,12969,19404,938.722,1.96,2.03,13.47,2.1,0.047,21860,1,1
13.623,53.84,1136,402,12890,19439,938.768,1.86,1.93,12.79,1.994,0.045,16800,1,1
-19.736,50.65,1331,413,12963,19392,938.762,2.05,2.13,14.12,2.202,0.05,22595,1,1
4.675,54.39,1274,400,13001,19415,938.801,2.07,2.16,14.28,2.226,0.05,24661,1,1
20.73,51.44,335,400,13096,19926,939.333,0.47,0.48,3.21,0.501,0.011,8608,1,1
28.95,42.11,209,428,12769,20517,937.349,1.58,1.64,10.88,1.697,0.038,3112,0,0
20.726,47.52,1182,400,12913,19437,938.694,1.46,1.52,10.04,1.566,0.035,18865,1,1
-17.765,50.96,1310,400,12970,19404,938.731,1.8,1.87,12.41,1.936,0.044,22385,1,1
-12.7,48.02,1339,400,12968,19399,938.72,2.04,2.11,14.01,2.184,0.049,21980,1,1
26.3,55.1,7,400,12890,19841,939.804,0.21,0.21,1.42,0.221,0.005,666,0,0
-8.774,54.92,89,400,13211,20167,939.64,1.91,1.99,13.16,2.053,0.046,5925,1,1
18.658,53.95,1222,407,12925,19426,938.726,1.76,1.83,12.15,1.894,0.043,19739,1,1
19.718,47.14,1040,554,12832,19472,938.999,2.21,2.29,15.2,2.37,0.054,12443,1,1
12.718,52.93,1080,400,12895,19454,938.747,1.74,1.8,11.95,1.863,0.042,16442,1,1
12.582,52.79,1096,440,12867,19447,938.846,2.19,2.28,15.08,2.351,0.053,15227,1,1
2.136,42.51,155,429,12779,20570,937.34,2.06,2.14,14.18,2.212,0.05,2438,0,0
-5.237,57.15,375,400,13038,19880,939.262,0.51,0.53,3.52,0.549,0.012,9135,1,1
20.19,57.05,341,400,13098,19867,939.691,1.34,1.39,9.24,1.441,0.033,3652,1,1
0.986,48.14,1335,408,12990,19395,938.785,2.03,2.11,14.0,2.183,0.049,24561,1,1
24.968,48.46,47,400,13108,20003,939.608,1.17,1.22,8.08,1.259,0.028,1679,0,0
25.53,47.93,1212,440,12863,19429,938.785,1.45,1.5,9.96,1.553,0.035,15992,1,1
11.84,50.61,27,429,12582,19656,939.812,0.44,1.0,1.68,1.124,0.538,202,0,0
15.69,55.01,7,400,13118,20006,939.638,0.67,0.69,4.6,0.718,0.016,1579,0,0
26.98,47.64,1124,400,12884,19449,938.759,2.0,2.08,13.78,2.149,0.049,16339,1,1
14.0,53.56,4,400,12853,19840,939.843,0.31,0.34,2.1,0.349,0.021,576,0,0
26.83,47.71,1019,542,12836,19471,938.949,2.08,2.16,14.31,2.231,0.05,12795,1,1
24.69,52.71,1383,415,12946,19382,938.715,1.81,1.88,12.49,1.947,0.044,21522,1,1
-4.231,50.61,308,400,13110,19956,939.387,0.23,0.24,1.6,0.25,0.006,8050,1,1
27.11,47.16,1057,422,12881,19465,938.823,1.8,1.87,12.39,1.933,0.044,15147,1,1
20.037,20.62,2254,400,13017,20058,936.795,1.41,1.46,9.67,1.508,0.034,4251,0,0
7.258,47.69,1023,646,12802,19470,939.078,2.53,2.63,17.41,2.714,0.061,11085,1,1
20.851,49.2,1117,559,12828,19439,938.886,1.89,1.97,13.03,2.032,0.046,12934,1,1
25.98,47.38,97,400,12779,20617,937.457,1.81,1.89,12.49,1.948,0.044,1396,0,0
2.557,49.03,235,400,13157,19984,939.682,1.44,1.5,9.94,1.55,0.035,3734,1,1
14.682,47.03,215,440,12760,20500,937.436,1.71,1.78,11.77,1.836,0.041,3360,0,0
24.68,52.77,1134,445,12865,19447,938.837,1.63,1.7,11.25,1.754,0.04,15106,1,1
16.407,42.94,198,422,12772,20527,937.405,1.57,1.63,10.79,1.682,0.038,3278,0,0
10.777,53.64,1051,636,12798,19461,939.099,2.31,2.4,15.87,2.475,0.056,11400,1,1
-19.589,53.48,1366,400,12976,19385,938.719,1.64,1.71,11.31,1.764,0.04,23626,1,1
32.63,17.16,0,534,13265,20961,930.899,1.08,1.12,7.45,1.162,0.026,1089,1,1
24.949,50.31,37,400,13119,20012,939.609,1.21,1.26,8.32,1.297,0.029,1682,0,0
16.527,49.25,1178,627,12802,19436,939.058,2.07,2.15,14.27,2.225,0.05,11974,1,1
16.621,57.91,2678,400,13340,19941,936.948,0.85,0.88,5.83,0.909,0.021,4047,0,0
24.57,52.93,1117,513,12841,19444,938.856,2.2,2.29,15.15,2.363,0.053,13671,1,1
22.057,53.02,20,430,12554,19644,939.815,0.1,0.27,0.29,0.307,0.162,153,0,0
26.83,47.66,1186,400,12971,19423,938.707,1.97,2.04,13.54,2.112,0.048,20777,1,1
26.94,47.89,1115,400,12895,19450,938.752,1.96,2.04,13.5,2.104,0.048,16877,1,1
19.26,49.67,2,400,13168,20059,939.639,0.82,0.85,5.63,0.878,0.02,2070,0,0
-0.647,52.42,1383,414,12950,19388,938.691,2.06,2.14,14.2,2.214,0.05,21221,1,1
-21.162,47.82,1339,400,12973,19390,938.713,2.01,2.08,13.8,2.153,0.049,23427,1,1
26.72,48.81,1145,400,12927,19442,938.705,1.72,1.79,11.84,1.847,0.042,19090,1,1
12.142,53.12,1184,420,12882,19439,938.764,1.89,1.96,13.01,2.028,0.046,16069,1,1
-4.055,52.41,688,844,12701,19568,939.113,2.46,2.55,16.92,2.639,0.06,9764,1,1
24.72,52.6,1149,429,12871,19441,938.824,1.95,2.02,13.4,2.09,0.047,15524,1,1
26.23,51.18,1260,400,13002,19407,938.814,1.75,1.82,12.05,1.879,0.042,24785,1,1
20.22,49.37,43,400,13212,20126,939.631,1.01,1.05,6.98,1.089,0.025,2601,0,0
12.343,47.87,1210,433,12868,19424,938.774,1.71,1.78,11.79,1.838,0.042,16232,1,1
12.11,47.96,1120,400,12886,19444,938.777,1.79,1.86,12.31,1.92,0.043,16035,1,1
29.24,66.39,1791,400,13410,20170,937.053,0.77,0.8,5.3,0.826,0.019,3993,0,0
26.91,47.93,1343,404,12982,19392,938.713,1.72,1.79,11.86,1.85,0.042,23724,1,1
22.11,48.82,128,400,13225,20090,939.643,1.74,1.81,11.97,1.867,0.042,4153,1,1
-4.338,55.02,267,400,13125,20003,939.52,0.53,0.55,3.62,0.564,0.013,7409,1,1
15.118,47.61,1128,400,12902,19450,938.805,1.48,1.54,10.18,1.587,0.036,17241,1,1
12.002,49.12,1120,412,12880,19450,938.794,1.96,2.03,13.47,2.101,0.047,15728,1,1
17.816,47.82,1094,584,12818,19460,939.033,1.65,1.71,11.33,1.768,0.04,12134,1,1
22.08,48.86,19,400,13259,20215,939.733,2.1,2.18,14.45,2.253,0.051,5480,1,1
20.632,52.2,1149,400,12931,19442,938.719,1.75,1.82,12.05,1.879,0.042,18783,1,1
24.51,53.83,1352,426,12919,19389,938.734,1.37,1.43,9.45,1.473,0.033,20269,1,1
13.209,51.0,138,400,13162,20038,939.655,0.77,0.8,5.33,0.831,0.019,2869,0,0
29.03,41.74,31,401,12840,20755,937.583,1.73,1.8,11.92,1.859,0.042,268,0,0
34.01,16.95,0,1525,12763,20665,930.903,1.03,1.07,7.11,1.109,0.025,976,1,1
20.23,52.53,85,400,13240,20136,939.683,2.22,2.31,15.29,2.384,0.054,4422,1,1
26.98,47.77,1182,401,12908,19435,938.695,1.52,1.58,10.47,1.633,0.037,18259,1,1
26.9,47.94,1283,400,12972,19407,938.744,1.93,2.01,13.3,2.074,0.047,22582,1,1
-12.056,50.58,1406,418,12948,19374,938.747,1.99,2.07,13.68,2.133,0.048,21935,1,1
27.87,46.36,86,400,12801,20665,937.532,2.11,2.19,14.49,2.26,0.051,1104,0,0
